output\result\result-TUW-137078-xstream.xml;"Monika Lanzenberger
Margit Pohl
";"Monika Lanzenberger
";1,00;,50;,67
output\result\result-TUW-138011-xstream.xml;"Marije Geldof
Annette Ten Teije
Frank Van Harmelen
Mar Marcos
Peter Votruba
";"Marije Geldof
2Annette ten Teije
2Frank van Harmelen
2Mar Marcos
1Peter Votruba
";1,00;1,00;1,00
output\result\result-TUW-138447-xstream.xml;"Alessandro Artusi
Alexander Wilkie
";"Figure
. Radial Basis Function Network
";,00;,00;,00
output\result\result-TUW-138544-xstream.xml;"Horst Eidenberger
";"";none extracted value;,00;0
output\result\result-TUW-138547-xstream.xml;"Horst Eidenberger
";"Horst Eidenberger
";1,00;1,00;1,00
output\result\result-TUW-139299-xstream.xml;"Wolfgang Aigner
";"Wolfgang Aigner
";1,00;1,00;1,00
output\result\result-TUW-139761-xstream.xml;"Andreas Heigl
";"Univ.-Prof. Dr. Michael Hanke
0Andreas Heigl
";,50;1,00;,67
output\result\result-TUW-139769-xstream.xml;"Daniel Lichtenberger
";"unter der Anleitung von
";,00;,00;,00
output\result\result-TUW-139781-xstream.xml;"Jakob Puchinger
Günther R Raidl
Martin Gruber
";"Jakob Puchinger¤
GuÄnther R. Raidl¤
Martin Gruber¤
";,67;,67;,67
output\result\result-TUW-139785-xstream.xml;"Daniel Wagner
";"";none extracted value;,00;0
output\result\result-TUW-140047-xstream.xml;"Thomas Lidy
Andreas Rauber
";"Thomas Lidy Andreas Rauber
";,00;,00;,00
output\result\result-TUW-140048-xstream.xml;"Michael Ilger
Marco Zapletal
";"Michael Ilger
0Marco Zapletal
";1,00;1,00;1,00
output\result\result-TUW-140229-xstream.xml;"Sabine Graf
Kinshuk
";"Sabine Graf
1Kinshuk
";1,00;1,00;1,00
output\result\result-TUW-140253-xstream.xml;"Franz Puntigam
";"Franz Puntigam
";1,00;1,00;1,00
output\result\result-TUW-140308-xstream.xml;"Gerald Futschek
";"Gerald Futschek
";1,00;1,00;1,00
output\result\result-TUW-140533-xstream.xml;"Ingo Feinerer
";"unter der Anleitung von
";,00;,00;,00
output\result\result-TUW-140867-xstream.xml;"Ingo Feinerer
Gernot Salzer
";"";none extracted value;,00;0
output\result\result-TUW-140895-xstream.xml;"Boris Kopinitsch
";"unter der Anleitung von
";,00;,00;,00
output\result\result-TUW-140983-xstream.xml;"Elke Michlmayr
Steve Cayzer
Paul Shabajee
";"Steve Cayzer
012steve.cayzer@hp.com
";,50;,33;,40
output\result\result-TUW-141024-xstream.xml;"Alimë Oztürk
Katharina Kaiser
Patrick Martini
Silvia Miksch
";"";none extracted value;,00;0
output\result\result-TUW-141065-xstream.xml;"Sabine Graf
Taiyu Lin
Kinshuk
";"Sabine Graf
2Taiyu Lin
1Kinshuk
";1,00;1,00;1,00
output\result\result-TUW-141121-xstream.xml;"Robert Neumayer
Andreas Rauber
";"Robert Neumayer
0Andreas Rauber
0neumayer
0rauber}@ifs.tuwien.ac.at
";,50;1,00;,67
output\result\result-TUW-141140-xstream.xml;"Antonio Vallecillo
Nora Koch
Cristina Cachero
Sara Comai
Piero Fraternali
Irene Garrigós
Jaime Gómez
Gerti Kappel
Alexander Knapp
Maristella Matera
Santiago Meliá
Nathalie Moreno
Birgit Pröll
Thomas Reiter
Werner Retschitzegger
José E Rivera
Andrea Schauerhuber
Wieland Schwinger
Manuel Wimmer
Gefei Zhang
";"Antonio Vallecillo
5Nora Koch
1Cristina Cachero
4Sara Comai
2Piero Fraternali
2Irene Garrigós
4Jaime Gómez
4Gerti Kappel
3Alexander Knapp
1Maristella Matera
2Santiago Meliá
4Nathalie Moreno
5Birgit Pröll
0Thomas Reiter
0Werner Ret- schitzegger
0José E. Rivera
5Andrea Schauerhuber
3Wieland Schwinger
0Manuel Wimmer
3Gefei Zhang
";1,00;1,00;1,00
output\result\result-TUW-141336-xstream.xml;"Nadia Creignou
Hervé Daudé
Uwe Egly
";"Nadia Creignou LIF
01UMR CNRS
01Universit´e de la M´editerran´ee
01avenue de Luminy
01Marseille
01France
01Herv´e Daud´e LATP
01UMR CNRS
";,00;,00;,00
output\result\result-TUW-141618-xstream.xml;"A Min Tjoa
Roland Wagner
Philipp Tomsich
Andreas Rauber
";"";none extracted value;,00;0
output\result\result-TUW-141758-xstream.xml;"Stefan Gindl
";"";none extracted value;,00;0
output\result\result-TUW-168222-xstream.xml;"Gudrun Kellner
";"";none extracted value;,00;0
output\result\result-TUW-168482-xstream.xml;"Christoph Roschger
Christoph Roschger
";"zur Erlangung des akademischen Grades
";,00;,00;,00
output\result\result-TUW-169511-xstream.xml;"Guenter Kiechle
Karl F Doerner
Michel Gendreau
Richard F Hartl
";"Guenter Kiechle
2Karl F. Doerner
1Michel Gendreau
0Richard F. Hartl
";1,00;1,00;1,00
